County,City,Town,Address,Hospital_Name,Hospital_Type,Latitude,Longitude
경상남도,창원시,마산회원구,"석전동 224번지 16호 2층, 3층",라온치과병원,치과병원,35.2357357,128.5808776
전라북도,김제시,금산면,용산리 301-26,의료법인지석의료재단신세계효병원,정신병원,35.7452949,127.0084371
전라남도,장성군,장성읍,기산리 489번지 5호,장성공립노인전문요양병원,요양병원(일반요양병원),35.3023328,126.7763621
경상남도,양산시,물금읍,범어리 2762번지 1호 부산대학교한방병원,양산부산대학교한방병원,한방병원,35.3251523,129.0068556
경상남도,사천시,사천읍,평화리 1번지 15호,사천서울아동병원,병원,35.0807049,128.092154
경상남도,김해시,삼정동,618번지 11호,의료법인 리드의료재단 다정한요양병원,요양병원(일반요양병원),35.2280769,128.8941947
전라남도,여수시,문수동,49번지 4호,의료법인 주영의료재단 동인요양병원,요양병원(일반요양병원),34.758772,127.699147
전라남도,여수시,문수동,49번지 4호 4호,의료법인주영의료재단 동인요양병원,,34.758772,127.699147
전라북도,순창군,순창읍,순화리 112-6 2층,의료법인희망의료재단희망병원,병원,35.3769496,127.1403373
전라북도,군산시,나운1동,743-7,의료법인 관주의료재단 정다운병원,병원,35.9716469,126.6989311
경상북도,상주시,도남동,산 57번지 52호,상주시립요양병원,요양병원(일반요양병원),36.4375237,128.2392074
전라북도,전주시,덕진구,인후동1가 594번지 14호,누가한방병원,한방병원,35.8360721,127.1505069
경상남도,김해시,주촌면,천곡리 1210,의료법인 송파의료재단 가야요양병원,요양병원(일반요양병원),35.2249259,128.839027
경상북도,칠곡군,왜관읍,금남리 310번지,칠곡군립 노인요양병원,요양병원(일반요양병원),35.9255715,128.4122694
경상북도,안동시,옥야동,28번지 7호,아주안제요양병원,요양병원(일반요양병원),36.5649163,128.7209959
전라북도,남원시,산곡동,21번지 3호,전북특별자치도 남원노인요양병원,요양병원(일반요양병원),35.4214079,127.3738273
경상북도,울진군,후포면,삼율리 761번지 1호 1호,의료법인동제의료재단 오차드요양병원,의사,36.6788165,129.4347694
경상북도,청도군,각북면,오산리 1134번지 1호,의료법인 선한의료재단 청도자연요양병원,요양병원(일반요양병원),35.7160252,128.5582105
전라북도,익산시,어양동,66번지 4호,온누리아동병원,병원,35.9527153,126.9874437
전라남도,광양시,마동,892번지 3호,광양시공립노인전문요양병원,요양병원(일반요양병원),34.9572081,127.6900582
전라남도,곡성군,겸면,칠봉리 8번지,곡성군립노인전문요양병원,,35.2529862,127.1842753
전라북도,전주시,완산구,중화산동2가 225번지 1호,삼남재활의학과병원,병원,35.8170281,127.1252907
전라남도,곡성군,겸면,칠봉리 8번지,곡성군립노인전문병원,요양병원(일반요양병원),35.2529862,127.1842753
경상북도,상주시,내서면,서원리 111번지 8호 8호,상주제일병원,,36.4224778,128.0151227
전라북도,고창군,고창읍,읍내리 995번지,전북특별차지도 고창노인요양병원,요양병원(일반요양병원),35.4369913,126.6910205
전라북도,전주시,완산구,효자동1가 222번지,참병원,의사,35.8036141,127.1247847
전라남도,여수시,둔덕동,471번지 100호 100호,여수시립요양병원,,34.7674701,127.6992042
경상남도,밀양시,부북면,용지리 194번지 1호,의료법인 이유의료재단 희윤요양병원,요양병원(일반요양병원),35.5094906,128.7453601
경상북도,포항시,북구,송라면 광천리 901번지 24호,의료법인청암의료재단 포항송라요양병원,요양병원(일반요양병원),36.2268377,129.3582823
전라남도,나주시,산포면,매성리 1188번지 1호 1통 2반,다정한병원,정신병원,35.0359477,126.7896956
전라북도,전주시,완산구,효자동3가 1699번지 4호 4호,유로병원,의사,35.8193653,127.1032739
전라남도,목포시,상동,835번지,미르치과병원,치과병원,34.8051748,126.4222073
경상북도,경주시,성동동,150번지 3호,큰마디큰병원,병원,35.8487239,129.2182447
경상북도,영주시,안정면,내줄리 300-1 시립노인전문요양병원,영주시립노인전문요양병원,요양병원(일반요양병원),36.8300985,128.5647292
경상북도,경주시,성동동,406번지 2호 2호,새천년병원,의사,35.8447428,129.2153472
경상북도,경주시,성동동,406번지 2호,새천년 병원,병원,35.8447428,129.2153472
전라남도,영암군,용당리,1865번지 5호,삼호제일병원,병원,34.7472599,126.3783513
경상남도,김해시,대청동,303-5,의료법인영진의료재단 엠아이병원,병원,35.1907626,128.800878
경상남도,창원시,진해구,장천동 712-11,동양의료재단연세사랑병원,정신병원,35.1286649,128.7011223
경상남도,김해시,삼정동,652번지 1호 외3,의료법인수의료재단 청솔요양병원,요양병원(일반요양병원),35.2317397,128.9028056
경상남도,창원시,마산회원구,합성동 83번지 3호,미소안재활병원,병원,35.2435616,128.5689898
전라남도,목포시,상동,713번지 46호 46호,목포아동병원,의사,34.8126686,126.4218461
전라남도,목포시,상동,848번지 2호 2호,예닮치과병원,치과의사,34.8061266,126.4239267
경상남도,창원시,팔용동,197번지 3호,의료법인 청민의료재단 몸편한한방병원,한방병원,35.2613765,128.6163176
