County,City,Town,Address,Store_Name,Store_Type,Latitude,Longitude
경기도,용인시,기흥구,고매동 산 41-7 IKEA Korea 기흥점,이케아 기흥점,전문점,37.2222674,127.1162533
경기도,시흥시,정왕동,1771번지 31호,시흥배곧 아브뉴프랑 센트럴,그 밖의 대규모점포,37.3435352,126.7376677
충청북도,충주시,달천동,786번지 5호,모다아울렛,전문점,36.9618462,127.8986158
경기도,의정부시,민락동,803 민락2지구 제일풍경채 센텀-애비뉴모나코,애비뉴모나코,그 밖의 대규모점포,37.7437033,127.0986781
서울특별시,마포구,신수동,93번지 102호 신촌숲아이파크,GS THE FRESH 신촌숲아이파크점,구분없음,37.5505759,126.9366969
강원특별자치도,태백시,황지동,200-26,롯데슈퍼 태백점,구분없음,37.1567264,128.9872161
강원특별자치도,동해시,동회동,"442번지 대동,현대아파트",노브랜드 동해남부재래시장점,구분없음,37.4873081,129.1057573
강원특별자치도,삼척시,남양동,55번지 4호 중앙시장,노브랜드 삼척중앙시장점,대형마트,37.4204382,129.1577507
경기도,수원시,영통구,하동 1017-2 갤러리아 광교,한화갤러리아(주) 광교점,백화점,37.2852032,127.0573994
서울특별시,성북구,길음동,"535-8,535-26,540-2,540-7",길음시장,그 밖의 대규모점포,37.6027181,127.0217764
서울특별시,강동구,고덕동,217번지 고덕그라시움아파트(상가1동),지에스 더프레시(GS THE FRESH) 고덕그라시움점,구분없음,37.5578957,127.1625755
