시도,구분,주소,연간_임대료(원),면적(㎡),지목
충청북도,임대-수탁,충청북도 단양군 영춘면 사이곡리 40,"75,000",743,전
충청북도,임대-수탁,충청북도 단양군 영춘면 사이곡리 379,"470,000","4,711",전
충청북도,임대-수탁,충청북도 단양군 영춘면 사이곡리 51-4,"15,000",157,전
충청북도,임대-수탁,충청북도 단양군 영춘면 사지원리 657,"200,000","2,480",전
충청북도,임대-수탁,충청북도 단양군 영춘면 사지원리 658,"100,000",803,전
충청북도,임대-수탁,충청북도 단양군 영춘면 사지원리 653-5,"200,000","2,073",전
충청북도,임대-수탁,충청북도 단양군 영춘면 오사리 102-5,"100,000","7,167",전
충청북도,임대-수탁,충청북도 단양군 적성면 하리 299,"110,000","1,246",전
충청북도,임대-수탁,충청북도 단양군 적성면 하원곡리 264-5,"50,000",556,전
충청북도,임대-수탁,충청북도 단양군 적성면 하원곡리 264,"170,000","1,928",전
충청북도,임대-수탁,충청북도 단양군 적성면 하원곡리 264-4,"200,000","2,170",전
충청북도,임대-수탁,충청북도 단양군 적성면 하원곡리 264-6,"10,000",52,전
충청북도,임대-수탁,충청북도 단양군 적성면 하원곡리 264-3,"170,000","1,948",전
충청북도,임대-수탁,충청북도 단양군 적성면 현곡리 97-2,"100,000","2,162",전
충청북도,임대-수탁,충청북도 보은군 내북면 법주리 339-3,"4,170,000","5,520",전
충청북도,임대-수탁,충청북도 보은군 마로면 기대리 264,"620,000","2,040",답
충청북도,임대-수탁,충청북도 보은군 마로면 세중리 328,"970,000","3,213",답
충청북도,임대-수탁,충청북도 보은군 마로면 송현리 276-1,"240,000","1,051",답
충청북도,임대-수탁,충청북도 보은군 보은읍 금굴리 89-1,"1,500,000","2,091",답
충청북도,임대-수탁,충청북도 보은군 보은읍 월송리 203,"320,000","1,451",답
충청북도,임대-수탁,충청북도 보은군 보은읍 월송리 203-1,"330,000","1,458",답
충청북도,임대-수탁,충청북도 보은군 보은읍 월송리 200-8,"150,000",645,답
충청북도,임대-수탁,충청북도 보은군 산외면 동화리 55,"300,000",923,전
충청북도,임대-수탁,충청북도 보은군 산외면 신정리 4-2,"570,000","2,303",답
충청북도,임대-수탁,충청북도 보은군 산외면 신정리 19,"630,000","2,085",답
