School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
대흥중학교,중학교,경상북도,포항시,북구,용흥동 418-9,36.04530538,129.353959
송남중학교,중학교,충청남도,아산시,송악면,역촌리 353-1,36.72154175,127.0043515
대룡중학교,중학교,강원특별자치도,춘천시,퇴계동,1036-1,37.847303,127.7446209
대전탄방중학교,중학교,대전광역시,서구,둔산동,1512,36.35044287,127.394387
매송중학교,중학교,경기도,성남시,분당구,이매동 145,37.396738,127.1233688
이리남중학교,중학교,전북특별자치도,익산시,모현동1가,890,35.946058,126.936942
대전노은중학교,중학교,대전광역시,유성구,노은동,524,36.37004922,127.324236
신어중학교,중학교,경상남도,김해시,삼방동,201,35.24481393,128.9118515
임성중학교,중학교,충청남도,예산군,오가면,역탑리 463-18,36.690006,126.7860128
개웅중학교,중학교,서울특별시,구로구,개봉동,273-15,37.4875269,126.8510711
운암중학교,중학교,광주광역시,북구,운암동,1056,35.18471442,126.873828
경일중학교,중학교,대구광역시,서구,원대동1가,440,35.88139487,128.5763528
초장중학교,중학교,부산광역시,서구,초장동,75-56,35.09477125,129.0182219
무안몽탄중학교,중학교,전라남도,무안군,몽탄면,구산리 58,34.94034434,126.5099323
탕정중학교,중학교,충청남도,아산시,탕정면,명암리 852,36.80257362,127.0638757
봉서중학교,중학교,전북특별자치도,완주군,봉동읍,둔산리 857-2,35.96601954,127.1252764
낙운중학교,중학교,경상북도,상주시,낙동면,상촌리 650,36.37637874,128.2530359
부천여자중학교,중학교,경기도,부천시,소사구,송내동 414,37.48137871,126.7604813
천북중학교,중학교,충청남도,보령시,천북면,하만리 185-27,36.48343927,126.5335437
대전덕명중학교,중학교,대전광역시,유성구,덕명동,606,36.34588695,127.3026899977
세일중학교,중학교,서울특별시,금천구,독산동,147-2,37.47459441,126.8953689
석적중학교,중학교,경상북도,칠곡군,석적읍,남율리 1190,36.06409306,128.4056548
회현중학교,중학교,전북특별자치도,군산시,회현면,대정리 102-1,35.91210816,126.7549318
온곡중학교,중학교,서울특별시,노원구,상계동,687,37.66058142,127.0643327
상현중학교,중학교,서울특별시,동작구,상도동,111-52,37.49390836,126.9603433
신도봉중학교,중학교,서울특별시,도봉구,쌍문동,94-1,37.64959473,127.033202
양덕중학교,중학교,경상남도,창원시,마산회원구,합성동 17-5,35.24262116,128.5951783
문성중학교,중학교,경상북도,김천시,지좌동,604-2,36.11844595,128.1468769
효문중학교,중학교,서울특별시,도봉구,쌍문동,468,37.65269871,127.0184005
병영중학교,중학교,전라남도,강진군,병영면,성남리 316,34.71314245,126.8136053
무룡중학교,중학교,울산광역시,중구,약사동,707-7,35.56500671,129.3356399
단성중학교,중학교,충청북도,단양군,단성면,상방리 79-1,36.93515176,128.3225622
양덕여자중학교,중학교,부산광역시,북구,구포동,1,35.2042128,129.0134063
나전중학교,중학교,강원특별자치도,정선군,북평면,나전리 571 번지,37.44126381,128.6645315
우도중학교,중학교,제주특별자치도,제주시,우도면,연평리 1442,33.50514824,126.9554325
