Local_Store_Name,County,City,Address,Latitude,Longitude
양평친환경로컬푸드 양평점,경기도,양평군,양평읍 양평장터길 15,37.4909292,127.492593
보령시 행복장터,충청남도,보령시,주교면 서해안고속도로 200,36.3744253,126.558344
농소농협하나로마트 로컬푸드,울산광역시,북구,매곡로 7,35.6346393,129.3489118
정선농협로컬푸드직매장,강원도,정선군,정선읍 녹송로 8,37.3790161,128.6731703
함양군 산삼골 로컬푸드 행복장터,경상남도,함양군,수동면 우명하교로 174,35.5519772,127.8069695
양주시로컬푸드직매장,경기도,양주시,송랑로 108,37.7947111,127.0899378
광주남구로컬푸드직매장,광주광역시,남구,화산로 32,35.1117241,126.900912
세종품앗이마을협동조합,세종특별자치시,새롬중앙로,62-15 해피라움W 122호,36.486926,127.251249
포천로컬푸드 파머스마켓,경기도,포천시,호국로 886 (설운동 72-2),37.845384,127.1597288
청도 로컬푸드 허브센터,경상북도,청도군,청도읍 새마을로1352,35.6519633,128.7504573
진안마을 로컬푸드 플랫폼,전라북도,진안군,진안읍 마이산로 154,35.7737206,127.4166114
자연터 로컬푸드직매장,경기도,고양시,일산동구 성현로 400 기입,37.7005324,126.8269706
인제농협 로컬푸드직매장,강원도,인제군,인제읍 비봉로 48(인제군 농특산물판매장 1층),38.0652706,128.1744317
영암농협로컬푸드직매장,전라남도,영암군,영암읍 낭주로 132,34.8003438,126.7026842
삼호농협 로컬푸드 직매장,전라남도,영암군,삼호읍 세가래로 77 삼호농협 로컬푸드 직매장,34.7487011,126.4733082
